id,symptom
1,Family history of ankylosing spondylitis
2,tummy ache
2,hurt in belly
2,pain in belly
2,belly soreness
2,tummy hurt
2,tummy discomfort
2,stomach soreness
2,soreness in abdomen
2,discomfort in tummy
2,spasm in stomach
2,ache in stomach
2,discomfort in abdomen
2,abdominal irritation
2,stomach ache
2,Gut pain
2,abdominal twinge
2,ache in abdomen
2,hurt in stomach
2,stomach hurt
2,tummy pain
2,stomach spasm
2,pain in stomach
2,hurt in abdomen
2,soreness in stomach
2,abdominal spasm
2,stomach pain
2,pain in tummy
2,irritation in abdomen
2,abdominal soreness
2,discomfort in stomach
2,stomach irritation
2,abdominal discomfort
2,irritation in stomach
2,Abdominal pain
2,belly irritation
2,irritation in belly
2,belly hurt
2,belly ache
2,ache in belly
2,belly discomfort
2,painful feeling in belly
2,stomach discomfort
2,pain in abdomen
2,abdominal ache
3,dorsal pain
3,Backache symptom NOS
3,Pain in back
3,pain; back
3,Pain;back
3,Unspecified dorsalgia
3,and back pain
3,dorsopathy dorsalgia
3,back pain in
3,Backache
3,Dorsalgia
3,backache symptoms
3,dorsodynia
3,backs pain
3,pain over the back
3,Backache symptom
3,Pain dorsal
3,back pains
3,back over pain
3,pain in back
3,backache symptom
3,Pain back
3,Back pain (disorder)
3,Backache; unspecified
3,Back Pain
3,Backaches
3,back paining
3,Pain over the back
3,PainsBack
3,Notalgia
3,Back Pains
3,backache
4,chest pain or discomfort
4,thoracodynia
4,Thoracalgia
4,Chest pain
4,Chest discomfort
4,Thorax painful
4,Stethalgia
4,thoracic pain
5,lower back pain
5,Low Back Pain
5,Lumbago
5,Lumbalgia
5,syndrome; low back
5,Low Back Ache
5,dorsopathy low back pain
6,Alcoholic hepatitis on liver biopsy
7,pain in lower extremity
7,Pain;leg
7,Pain in lower limb
7,Leg pain
7,Hindlimb pain
7,Hindlimb painful
7,musculoskeletal leg pain
7,Lower limb pain
9,H/O: hypertension
9,History of hypertension (situation)
9,History of hypertension
11,Must sit up to breath
11,Orthopnea
11,Breathless - lying flat
11,breath sit up
11,Breathlessness lying flat
12,EDEMA
12,Edema.
12,Hydrops
12,Oedematous
12,Edema
12,Edema;leg
12,Swelling/ Edema
12,Oedema
12,edemas
12,Edema NOS (finding)
12,dropsies
12,edema interstitial
12,Hydrops (morphologic abnormality)
12,Edematous
12,swelling due to excess fluid
12,Oedemaunspecified
12,Dropsy
12,Interstitial oedema
12,Interstitial edema
12,[D]Dropsy (context-dependent category)
12,Edema - symptom
12,oedemas
12,watery swelling
12,Edemaunspecified
12,Waterlogged
12,excess fluid
12,oedematous
15,tenderness; abdomen
15,Abdominal tenderness
16,Mass in abdomen
16,abdomen lumps
16,Abdominal mass
16,abdominal lump
17,tarry stool
17,Altered blood in stool
17,Melena
17,Tarry feces
17,Dark stools
17,black stools
17,Altered blood passed per rectum
18,Temperature elevated
18,Has a temperature
18,fevered
18,hyperthermic
18,High body temperature
18,Feverish
18,Temperature elevation
18,Increased body temperature
18,Pyrexia
18,Temperature raised
18,Fever
18,Febrile
18,Hyperthermia
18,Body temperature above reference range
19,Blood pressure high
19,Elevated blood pressure
19,high blood pressure disorder
19,Hyperpiesis
19,Hypertensive vascular disease
19,vascular hypertensive disorder
19,Systemic arterial hypertension
19,BP - High blood pressure
19,High blood pressure
19,Hypertensive disease
19,Blood PressureHigh
19,Hypertension
19,HTN
19,HT - Hypertension
20,Unequal pulses
20,Pulse unequal
20,Unequal pulse (finding)
20,Unequal pulse
21,Aortic diastolic murmur
23,Hypopiesis
23,HypotensionVascular
23,Low BP
23,Low blood pressure
23,Fall in blood pressure
23,Hypotension
23,Systemic hypotension
23,Arterial hypotension
24,Comatose
24,Exanimation
24,Coma
25,Feeling dazed
25,Confusion
25,Confusional state
25,Obnubilation
25,disorientation
25,cognitive functions confusion
25,Muddled
25,bewilderment
